start	end	text
723380	724380	There I go.
724380	725380	Yeah.
725380	726380	So I don't forget anything.
726380	732380	Okay.
732380	733380	What is this?
733380	734380	Isela?
734380	735380	Isela.
735380	736380	Yes.
736380	737380	That's true.
737380	739380	Uh, two B-U-T-E.
739380	742380	At gmail.com.
742380	749380	Okay.
749380	752380	Okay.
752380	756380	Any other witnesses to the events
756380	758380	that were standing nearby right here?
758380	759380	Right.
759380	761380	Yes.
761380	765380	And I know all the other people in the cars were
765380	766380	kind of the way they were up.
766380	770380	And I know the people in the UConn were also up.
770380	771380	It also has the same police report.
771380	774380	I know the same plenty of people spoke to them as well.
774380	777380	The photo's pretty much took everybody's cars.
777380	778380	Okay.
778380	780380	No worries.
780380	782380	I have to get in on this to the people.
782380	784380	That was a jingle.
784380	787380	And I'm looking behind the UConn.
787380	793020	What is your oh there was what a gentleman that was just part like waiting with him
793020	796520	But he wasn't involved in it. He was like I know you can't see
798940	802520	Okay, but none that you got like no on the side of the street or anything. Okay
817380	819380	Oh
847380	854380	Wow, that's a lot of issues
877380	898380	You've never had any prior accidents or any of that. I know him
898380	903380	Okay, so what is your child's name?
903380	911380	I've been I also put it in one of the drivers, but I kind of the person
911380	914380	Oh, okay the Sarah
914380	927380	I'm gonna take this
927380	934380	You can break that too
957380	964380	I need a second
988380	1000380	Thank you
1000380	1002380	Okay.
1008380	1012380	See if I have read you read all this.
1030380	1032380	Okay.
1060380	1070380	Okay.
1070380	1076380	Five vehicles.
1076380	1080380	How many people were in?
1080380	1094380	The woman that was driving the defendant hers.
1094380	1096380	The black one?
1096380	1104380	It was just her.
1104380	1108380	How many people in the gray car?
1108380	1110380	I'm not too sure about that.
1110380	1112380	I don't even know.
1112380	1114380	I don't even know.
1114380	1116380	I don't even know.
1116380	1118380	I don't even know.
1118380	1120380	I don't even know.
1120380	1122380	Okay.
1122380	1124380	How many people in the car behind you?
1124380	1126380	There was one man.
1126380	1128380	What car was that?
1128380	1130380	It was a white car as well.
1130380	1132380	I don't even know.
1132380	1134380	I don't even know.
1134380	1136380	Okay.
1136380	1138380	How many were in the Yukon?
1138380	1140380	The Yukon was quite a bit.
1140380	1142380	Maybe like three of those.
1142380	1144380	Three children?
1144380	1146380	I don't even know.
1146380	1148380	I don't even know.
1148380	1150380	I don't even know.
1150380	1152380	I don't even know.
1152380	1154380	I don't even know.
1154380	1156380	I don't even know.
1156380	1158380	I don't even know.
1158380	1162380	He does sound loud right now.
1162380	1164380	Can't be if there is no too many people doing well.
1164380	1168380	Yeah, I was going to leave back from the doctor's office.
1168380	1172380	And the joy has been...
1172380	1174380	He was sick.
1174380	1176380	Okay.
1176380	1178380	So you're going home?
1178380	1180380	Okay.
1180380	1182380	Okay.
1182380	1184380	Okay.
1184380	1186380	Okay.
1186380	1188380	Okay.
1188380	1190380	Okay.
1190380	1192380	Okay.
1192380	1194380	Okay.
1194380	1196380	Okay.
1196380	1198380	Okay.
1198380	1200380	Okay.
1200380	1202380	Going back to this.
1202380	1204380	Going back to this.
1204380	1206380	Going back to this.
1206380	1208380	Going back to this.
1208380	1210380	Going back to this.
1210380	1212380	Going back to this.
1212380	1214380	Going back to this.
1214380	1218380	Going back to this.
1218380	1220380	Going back to this.
1220380	1222380	Going back to this.
1222380	1224380	Going back to this.
1224380	1226380	Going back to this.
1226380	1228380	Going back to this.
1228380	1230380	Going back to this.
1230380	1234140	over Toyota. Was that the great car? I believe that was the one right here in the middle of us.
1236140	1241260	Okay, yeah. Got it. Tahoe?
1250140	1250940	Got it, got it.
1255260	1256380	Okay, back to this.
1260380	1270380	So, do you live in like an H.O.A. community?
1270380	1276380	Um, where do you guys live?
1276380	1280380	Um, we live in a house in North Las Vegas.
1280380	1282380	And there's no H.O.A.? No, H.O.A.
1282380	1284380	Yes.
1290380	1294380	Can you be more clear on what that means?
1294380	1296380	Is it like the government phase you rent? No.
1296380	1300380	Um, an H.O.A. is like, uh, rules and regulations of the community.
1300380	1304380	Oh, no. So, some people live in a community where it's like, don't park your car outside,
1304380	1308380	don't paint your house unless you ask us what color.
1308380	1310380	Yeah. And they pay a monthly fee for that?
1310380	1312380	No. Okay, so if you don't live in H.O.A.
1312380	1314380	community, I would suggest getting the car towed to where you are.
1314380	1318380	Okay. Just because I don't want to tow it there and then you incur all these fees
1318380	1322380	because H.O.A. is finding you because you're an office at the cars park there.
1322380	1326380	But if it's going to be towed, um,
1326380	1330380	no, let me finish this part here.
1330380	1332380	Let me know it's here. Okay. Um, if it's going to be towed,
1332380	1336380	so what they normally do is they look at the blue book value of your car.
1336380	1340380	So they'll say 2003 Honda or whatever you have.
1340380	1344380	Okay. Um, is that what you have?
1344380	1346380	2008 Honda.
1346380	1350380	Okay. So let's say you have a 2008 Honda and they're going to look at it and say 2008 Honda,
1350380	1352380	I think I have a 2006 Honda.
1352380	1354380	Good? Yeah, I have a 2006 Honda.
1354380	1356380	And I don't even know what my car's worth.
1356380	1358380	But let's say it's worth five grand.
1358380	1362380	Okay. They're going to say, well, her 2008's worth six grand.
1362380	1366380	And because we looked it up on Kelly Blue Book.
1366380	1370380	And then they're going to give you the Kelly Blue Book version of what your car would be.
1370380	1374380	Hopefully, unless they try to cheapen it down somehow.
1374380	1378380	Okay. So I would go on to Kelly Blue Book and look up yours.
1378380	1380380	Because you're the one that knows your car best.
1380380	1382380	I can't go enter in if it's got, you know, a moonroof or,
1382380	1386380	or, you know, some kind of cool little stereo system or something.
1386380	1390380	And then if there was anything that you fixed on the car recently,
1390380	1392380	like, hey, I put in a whole new transmission in like a month ago.
1392380	1396380	And here's my thousand dollar, you know, receipt.
1396380	1398380	Then you would bring that up now.
1398380	1402380	Okay. Or like I souped it up and I've got like the subwoofer from all subwoofers.
1402380	1404380	You know? No.
1414380	1416380	You think you never fixed it, right?
1416380	1418380	Yeah. Nope.
1418380	1420380	I used to be like that in school.
1420380	1422380	I don't know if it was, I haven't had an accident forever.
1422380	1424380	You know what I mean? But like when I was in school,
1424380	1428380	I'd be like, I'm just not going to fix it because someone's going to hit the back of it.
1428380	1430380	Never mind.
1430380	1432380	Yeah, it's just, just give it a second.
1432380	1436380	It'll just, you know, maybe it was because I was a bad driver, you know?
1440380	1444380	Okay, where is it that you live near?
1444380	1448380	I live close by the decor casino.
1448380	1450380	I don't know what that is.
1450380	1452380	So it's going to rain and let's take a little over there.
1452380	1454380	It's going to be like cherry and succinct.
1454380	1456380	Yeah.
1456380	1458380	It's like a city center.
1458380	1460380	It's like the city center.
1460380	1462380	Stake is Boulevard.
1462380	1464380	Carey.
1464380	1466380	City center right here.
1466380	1468380	8900.
1468380	1470380	Correct.
1470380	1472380	Okay.
1472380	1474380	Oh yeah.
1474380	1476380	Go ahead.
1476380	1480380	Go ahead.
1480380	1484380	Do it.
1484380	1512420	You don't really work then?
1512420	1516420	No. So can we make your appointments whenever or do you prefer a certain time?
1516420	1523420	I prefer the morning time only because right now if that was my only transportation, so my
1523420	1526420	mom's basically going to be using me right now.
1526420	1529420	You missed your mother. Like you mother.
1529420	1531420	I think boomerang children, they come back.
1531420	1533420	I know, yeah. She has sticks.
1533420	1534420	I'll just imagine.
1534420	1537420	All of them will be molded.
1537420	1540420	Okay, I'm not.
1540420	1549420	I'm just going to make one.
1549420	1555420	I think that's um, you can pick it up.
1555420	1562420	It's not L.S. It's not a little bit exciting or...
1563420	1572420	You prefer mornings?
1572420	1575420	Take home.
1575420	1578420	It's your mine.
1578420	1581420	Oh, that's yours.
1581420	1585420	If you get an estimate of your vehicle, make sure you give us a copy.
1585420	1586420	Okay, awesome.
1586420	1589420	So I'm going to put that on your homework.
1589420	1592420	I just kind of got lost a little bit.
1592420	1594420	Who gets the estimate?
1594420	1597420	So they may give you something in the mail when they total out your car.
1597420	1600420	It depends on what kind of insurance your your aunt has.
1600420	1601420	Okay.
1601420	1602420	So we will talk about that too.
1602420	1605420	Let me add that to my list.
1605420	1607420	Should we have a comparison?
1607420	1609420	Oh.
1609420	1613420	So that's not good.
1620420	1622420	Who else do you live with?
1622420	1627420	I'm just my mother-in-law.
1627420	1632420	Does fiance or mother-in-law have health car insurance?
1632420	1633420	Health car insurance?
1633420	1634420	No, just car insurance.
1634420	1636420	That's her vehicle.
1636420	1640420	The mother-in-law is the vehicle owner.
1640420	1641420	Okay, hold on.
1641420	1643420	I'm sorry.
1643420	1645420	She's kind of like an aunt then.
1645420	1646420	No.
1647420	1649420	She's your mother-in-law.
1649420	1651420	Oh, I thought it was your aunt that owned the vehicle.
1651420	1652420	No.
1652420	1653420	I put mother-in-law.
1653420	1654420	Okay.
1654420	1656420	Hearing things.
1656420	1658420	It's okay.
1658420	1661420	But the fiance has no health car insurance.
1661420	1662420	No.
1662420	1664420	The only car that you guys had was this one.
1664420	1669420	And it's all her house liability.
1669420	1670420	Okay.
1670420	1671420	We have cancer.
1671420	1674420	So I'm the one dragging her places.
1674420	1676420	I'm taking her through doctor appointments.
1676420	1678420	I'm taking her to blood work.
1678420	1680420	I'm doing what I do.
1680420	1684420	And that's the car that we have on the lane.
1684420	1686420	And it's really messed up then.
1686420	1688420	Because the lady decided to do something stupid
1688420	1691420	that we don't have to suffer for it.
1691420	1692420	Life.
1692420	1693420	Yeah.
1693420	1695420	Okay.
1695420	1699420	So we're going to give you a text line.
1699420	1703420	Let's see how it goes down on that.
1703420	1705420	How's it going over here?
1705420	1707420	Yeah.
1707420	1709420	Okay.
1709420	1711420	Okay.
1711420	1713420	We're going to give you a number.
1713420	1715420	And you can text all those pictures.
1715420	1717420	And everything that you have,
1717420	1719420	ID's and license.
1719420	1721420	Okay.
1721420	1723420	Okay.
1723420	1725420	Okay.
1725420	1727420	Okay.
1727420	1728420	Okay.
1728420	1729420	We're going to give you a number.
1729420	1730420	And you can text all those pictures.
1730420	1732420	And everything that you have,
1732420	1734420	ID's and license plates and stuff too.
1734420	1736420	It's just a text line.
1736420	1738420	If you want to make calls,
1738420	1740420	you need to call the office.
1740420	1742420	Because people will call that number.
1742420	1744420	And you can't pick up from that number.
1744420	1746420	It's just for texting.
1746420	1747420	Okay.
1747420	1748420	So when you text to you,
1748420	1750420	like, text first,
1750420	1751420	who you are,
1751420	1752420	and then text first.
1752420	1753420	Yeah.
1753420	1754420	Who will.
1754420	1755420	So that means,
1755420	1757420	yeah, it's a text line.
1757420	1759420	And it's not like a normal text line.
1759420	1761420	You can see it right away.
1761420	1763420	But sometimes we see it like,
1763420	1765420	it only sends it to us like,
1765420	1767420	during like 7 a.m. and 7 p.m.
1767420	1769420	So we're not like every day.
1769420	1771420	Like, I was doing something.
1771420	1773420	I was doing something.
1773420	1774420	You know what I mean?
1774420	1776420	So it doesn't distract us.
1776420	1777420	You know?
1777420	1778420	So some people are like,
1778420	1779420	hey, why have you answered my text?
1779420	1781420	Because I only see it in certain periods of time.
1781420	1783420	So if you have any emergencies,
1783420	1784420	just call the office.
1784420	1785420	Okay.
1785420	1787420	You can speak to the gesture
1787420	1789420	about the accident or your injuries.
1789420	1791420	Because the gestures are not your friends.
1791420	1793420	Okay, ever go to court.
1793420	1796420	They are sitting there on the other side,
1796420	1798420	trying to make you lose your case.
1798420	1799420	Okay.
1799420	1800420	Okay.
1800420	1802420	So if you can talk to them about your car,
1802420	1803420	like, hey, when you're going to fix my car,
1803420	1804420	when you're giving them money from my car,
1804420	1805420	when you do a little bit of car,
1805420	1807420	they don't tell them about your accident or your injuries,
1807420	1809420	because they're going to try and trick you,
1809420	1810420	into saying something that later on,
1810420	1811420	you'll be like,
1811420	1812420	we got you on recording,
1812420	1813420	and you said this.
1813420	1814420	Okay.
1814420	1815420	Well, two days later,
1815420	1817420	like I was throwing up and all this other stuff,
1817420	1818420	and I didn't tell you that,
1818420	1820420	because that was two days later.
1820420	1821420	You know what I mean?
1821420	1822420	So you never ever want to talk to insurance companies,
1822420	1824420	even if it's your own insurance company most of the time.
1824420	1825420	Okay.
1825420	1826420	Okay.
1826420	1830420	You are going to need to open up the claim with lift,
1830420	1832420	because we've tried opening up claims with them,
1832420	1834420	and they won't talk to us.
1834420	1835420	So you can talk to them,
1835420	1836420	open up the claim,
1836420	1837420	don't tell them about the accident,
1837420	1839420	don't tell them about your injuries,
1839420	1840420	and then just say,
1840420	1842420	hey, speak to my attorney about that.
1842420	1844420	You can open the claim with lift.
1844420	1845420	Okay.
1845420	1846420	So you can just kind of call them,
1846420	1847420	like, on a different...
1847420	1849420	There's a...
1849420	1852420	I'll text you the website,
1852420	1854420	and you, like, enter in your info,
1854420	1856420	like, hey, I wasn't involved in an accident,
1856420	1858420	on January 1st, at 2 p.m.,
1858420	1859420	or whatever,
1859420	1860420	and here's my phone number,
1860420	1861420	and they'll call you back.
1861420	1862420	Okay.
1862420	1863420	Okay.
1863420	1864420	Okay.
1864420	1867420	And after that, I just gave them your information,
1867420	1868420	or is it right now?
1868420	1869420	Yeah.
1869420	1870420	Okay.
1870420	1872420	I'll just tell them about the car,
1872420	1873420	property damage only.
1873420	1874420	If you need to talk to me about injuries,
1874420	1875420	or the accident, call my client,
1875420	1876420	call my attorney,
1876420	1878420	I'll authorize you to speak to my attorney.
1878420	1879420	Okay.
1879420	1880420	Okay.
1880420	1881420	Okay.
1881420	1882420	Um...
1882420	1886420	Let's see.
1886420	1889420	So...
1889420	1892420	Uh...
1892420	1894420	And I would do that as soon as possible,
1894420	1896420	because you want to see if lift has coverage.
1896420	1897420	Okay.
1897420	1898420	That's the...
1898420	1899420	Today, basically.
1899420	1900420	Yeah.
1900420	1902420	Where did it go?
1902420	1903420	Where's your...
1903420	1904420	To-do list.
1904420	1905420	Okay.
1905420	1906420	Yeah.
1906420	1907420	She's going to need one.
1907420	1908420	Yeah.
1908420	1909420	That would be great.
1909420	1910420	Yeah.
1910420	1911420	Oh.
1911420	1912420	Yeah.
1912420	1913420	We've got your to-do list.
1913420	1914420	Okay.
1914420	1917420	We're going to need your vehicle towed,
1917420	1918420	because, um...
1918420	1920420	I'm going to go back to that.
1920420	1921420	Sorry.
1921420	1923420	Because when they look at the car damage,
1923420	1926420	they will take out the money that it's been in the tow yard.
1926420	1929420	Because the tow yard charge is like $250, $300, $500 a day.
1929420	1931420	So let's say that they think your car's worth $6 grand,
1931420	1933420	they'll be like, well, it was there for three days,
1933420	1935420	so we're going to take off a brand.
1935420	1936420	So now you only have $5 grand,
1936420	1939420	because it's too bad, so sad you should take in your car out.
1939420	1940420	Oh, my God.
1940420	1941420	Okay.
1941420	1942420	So we're going to give that thing,
1942420	1943420	take it out as soon as possible.
1943420	1945420	So that's why we're getting it towed to your place.
1945420	1946420	So how do we do that?
1946420	1948420	Do we just get a tow company and just get it,
1948420	1949420	or...
1949420	1950420	Yeah.
1950420	1951420	Because you only have liability.
1951420	1953420	Unfortunately, in the United States,
1953420	1955420	it's kind of like innocent, so proving guilty.
1955420	1957420	So you have to do all this stuff,
1957420	1960420	and then hope that the other party has enough money to reimburse you.
1961420	1962420	Okay.
1962420	1969420	So now let's talk to you about lift and everything.
1969420	1974420	So in Nevada, the laws with lift are such that
1974420	1976420	if you have the app on,
1976420	1981420	and you've got passengers, you've got 1.5 million worth of coverage.
1981420	1983420	If you have the app on,
1983420	1986420	and you don't have any passengers on in the car,
1986420	1989420	you've got $50 grand.
1990420	1992420	So you're hoping that she has the app on,
1992420	1994420	and no people in the car.
1994420	1995420	Yeah.
1995420	1996420	Okay, because there's no people in the car,
1996420	1997420	so she'll have the app on.
1997420	1998420	Yeah.
1998420	2000420	If she doesn't have the app on, it's 15 grand.
2000420	2001420	Okay.
2001420	2003420	So what happens if there was a rental?
2003420	2006420	Rental is the minimum, state minimum, 15.
2006420	2008420	So rental coverage is,
2008420	2014420	you can pull the coverage to see if there is anything.
2014420	2017420	So when you go to the store and you go rent a car,
2017420	2019420	you can say, hey, I want extra coverage,
2019420	2022420	and I'll pay for the 1.5 million extra, right?
2022420	2025420	I'll pay the extra 20 bucks a day to get that car insurance out
2025420	2027420	that this person did that.
2027420	2028420	Yeah.
2028420	2030420	Okay, so she probably said,
2030420	2032420	I just want to rent, and I want to Uber today,
2032420	2034420	and I'm just not going to pay for that extra insurance.
2034420	2036420	So it is whatever insurance she has,
2036420	2038420	which is probably 15 grand,
2038420	2041420	because people that are rational and stuff
2041420	2044420	don't really run red lights and try to escape the police.
2044420	2045420	Exactly.
2046420	2047420	Okay.
2047420	2049420	So best case scenario,
2049420	2051420	you've got 50 grand for this accident.
2051420	2053420	Worst case scenario, you've got 15.
2053420	2054420	Okay.
2054420	2056420	Split amongst everyone.
2056420	2057420	Wow.
2057420	2058420	Wow.
2058420	2059420	Wow.
2059420	2062420	And $10,000 for car damage.
2062420	2063420	Split amongst everyone.
2063420	2065420	Wow.
2065420	2066420	Wow.
2066420	2068420	So you guys may be out of car,
2068420	2070420	and you may have to start looking for a car.
2070420	2072420	And saving for a car.
2073420	2076420	It is true.
2076420	2079420	But this is where you have to get extra coverages.
2079420	2081420	Come on.
2081420	2083420	Six.
2083420	2089420	So this is where it lies.
2089420	2091420	The issue is,
2091420	2093420	we don't know what kind of coverage she has,
2093420	2095420	so hopefully she has the lift app on.
2095420	2096420	So if you have the app on,
2096420	2098420	and you're like going off to pick someone up,
2098420	2099420	then it's 50 grand of coverage.
2100420	2101420	But even then,
2101420	2106420	it's not pretty much not that great,
2106420	2108420	because,
2113420	2114420	it's not that great,
2114420	2118420	because there are five vehicles.
2118420	2119420	Correct.
2119420	2120420	And there's at least,
2120420	2122420	let's say there's just six people in the Yukon.
2122420	2124420	One of them being a third vehicle,
2124420	2125420	I know that the cops will be,
2125420	2127420	they're not going to cover her vehicle.
2127420	2128420	They're never going to cover her.
2128420	2130420	Unless she had a passenger.
2130420	2132420	So the other four vehicles,
2132420	2135420	but you've got you and him,
2135420	2137420	if he treats.
2137420	2140420	That's two claimants within a half.
2140420	2142420	The lady in the car that went to the ambulance,
2142420	2145420	so her medical bills are higher than yours already.
2145420	2147420	And anyone in her vehicle,
2147420	2149420	so let's assume it's just one.
2149420	2151420	The person behind you and the man in the white car,
2151420	2152420	that's three.
2152420	2153420	So now we're three and a half.
2153420	2155420	And the other car had three,
2155420	2157420	six to seven people in there.
2157420	2160420	So now we're looking at 10 people.
2160420	2162420	Even at 50 grand,
2162420	2165420	just split amongst 10.
2165420	2167420	That's not very much.
2167420	2168420	Makes sense?
2168420	2169420	See why I cannot,
2169420	2170420	probably can't take the case.
2170420	2171420	I'll help you out,
2171420	2175420	but I probably won't be able to take the case.
2175420	2176420	Okay?
2176420	2178420	So we'll help you out a little bit with it,
2178420	2180420	and your property damage and everything,
2180420	2184420	but I just don't see this being a case that we can take.
2184420	2185420	If it was great,
2185420	2187420	if your aunt had that coverage,
2187420	2189420	but you just told me she's...
2189420	2191420	She's liability.
2191420	2192420	Yeah, liability.
2192420	2194420	So now you know what to do when you're in an accident,
2194420	2195420	you get...
2195420	2196420	If it's a car,
2196420	2197420	if you don't mind,
2197420	2198420	like my mom has an old car,
2198420	2199420	an old beater,
2199420	2200420	like, you know,
2200420	2201420	she's probably digging it into,
2201420	2202420	like, several things,
2202420	2204420	15 times already.
2204420	2205420	It's only worth three grand,
2205420	2206420	you know what I mean?
2206420	2208420	I'm not going to go insure it for full coverage.
2208420	2209420	Yeah.
2209420	2210420	Makes sense?
2210420	2211420	Yeah.
2211420	2212420	I'm going to do only liability on that one,
2212420	2214420	but I'm going to buy extra coverage for me,
2214420	2216420	because you can always buy extra coverage for you,
2216420	2218420	because you don't know how someone else is driving.
2218420	2219420	Okay.
2219420	2232420	So yeah, I don't think that your car is going to be covered.
2232420	2235420	You're probably going to have to buy any car.
2235420	2236420	I'm just telling you,
2236420	2237420	yeah, based on the facts,
2237420	2239420	there's 50,000 for 10 people.
2239420	2243420	Um, rental car coverage.
2243420	2245420	If you don't have rental car coverage on your thing,
2245420	2247420	you're probably not going to get rental car coverage.
2247420	2249420	And I think you said you don't have liability,
2249420	2251420	so you doubtfully have rental car coverage.
2251420	2254420	You may want to get that next time you get a vehicle.
2254420	2256420	All these things that you need to do,
2256420	2257420	when you get insurance next time,
2257420	2258420	just like,
2258420	2259420	you've already taken a picture of it.
2259420	2260420	Yes.
2260420	2262420	So I would get that kind of coverage.
2262420	2263420	And I know money is tight
2263420	2267420	with your mother-in-law having cancer and everything.
2267420	2272420	Um, okay.
2272420	2277420	Other than that.
2277420	2279420	Yeah.
2279420	2280420	Do you have health insurance?
2280420	2281420	Yes.
2281420	2282420	You do have to,
2282420	2283420	what is it like Medicare and Medicaid?
2283420	2284420	Oh, Medicaid.
2284420	2285420	Medicaid.
2285420	2286420	Do you have a copy of that?
2286420	2288420	Can you make a copy of it?
2288420	2290420	I believe I did.
2290420	2292420	Oh, you did?
2292420	2293420	Okay.
2293420	2306420	Okay.
2306420	2308420	So you might want to treat under Medicaid
2308420	2311420	until, you know, if there's coverage,
2311420	2314420	even if there is coverage.
2314420	2317420	It's not going to be enough to have a case over.
2317420	2318420	Yeah.
2318420	2321420	You know, if you have coverage,
2321420	2323420	you turn out that it's a lift vehicle, call me,
2323420	2326420	and I'll show you how to do this claim on your own.
2326420	2327420	Okay.
2327420	2330420	We'll talk about it then.
2330420	2333420	Um, just, but you need to make sure
2333420	2335420	that you treat consistently.
2335420	2336420	Okay.
2336420	2337420	Otherwise, if, even,
2337420	2338420	whether or not,
2338420	2340420	let's say you treat consistently on Medicare
2340420	2342420	or Medicare or whatever,
2342420	2345420	until you realize whether or not they have that lift open or not.
2345420	2347420	Okay.
2347420	2349420	Because if you don't treat consistently,
2349420	2350420	you're going to say you're not hurt,
2350420	2351420	I'm not giving you anything.
2351420	2353420	Like, I have clients that, like, do it on their own,
2353420	2355420	and then they text me after the fact,
2355420	2357420	when you open stuff, they find us.
2357420	2359420	And they're like, oh, well, I decide to go,
