start	end	text
161000	162000	That traffic accident report there.
162000	163000	So, okay.
163000	165000	I'm going to make a copy of that stuff.
165000	166000	Okay.
166000	169000	I just want you to know that if you get a repair estimate before me,
169000	171000	I would like a copy of that repair estimate.
171000	172000	Okay.
172000	177000	You know, I don't want you to give me the repair estimate
177000	179000	from the insurance company because it's usually low.
179000	183000	So, if you get an estimate from your insurance company
183000	185000	or the defense insurance company,
185000	187000	which actually is you in this case.
187000	190000	So, if you get an estimate about your car from the insurance company,
190000	191000	it's usually too low.
191000	194000	So, I do want you to go get a third party estimate from somewhere else.
194000	195000	Got it?
195000	196000	Okay.
196000	199000	So, I'm guessing your vehicle is not drivable.
199000	201000	Isn't it in the ewing tow lot or something like that?
201000	203000	Yeah, it is in the ewing tow lot.
203000	204000	Okay.
204000	207000	So, it's probably going to be totaled because it did catch on fire.
207000	211000	If it's totaled, I'm going to need this DMV power of attorney filled out.
211000	212000	Okay.
212000	213000	We'll fill it out.
213000	214000	You just need a sign here.
214000	215000	And we'll notice it.
215000	216000	Okay.
216000	217000	Okay.
217000	218000	So, let me get you to sign that.
218000	227000	Too bad, so sad.
227000	229000	Okay.
229000	234000	You still owe money on that car, right?
234000	235000	Yes, it was brand new.
235000	236000	Brand new.
236000	237000	Okay.
237000	238000	Did you get gap on that?
238000	239000	You did get gap.
239000	240000	Okay.
240000	244000	Well, we're going to need to know who the lean holder is.
244000	246000	So, I see that it's through Toyota Finance.
247000	250000	And I'm going to need those gap documents.
250000	251000	Okay.
251000	253000	So, that can help you with that gap.
253000	254000	Okay.
254000	258000	If you, since the car is going to be total, I want you to go get the Kelly Blue book.
258000	259000	Okay.
259000	260000	To see how much the car is worth.
260000	264000	And then also any improvements that you made.
264000	267000	So, if you just tinted the windows recently or got a new engine or something,
267000	269000	make sure that you get me those receipts.
269000	270000	Okay.
270000	273000	Because then we can, after the insurance company gives me an estimate,
273000	278000	then I can try and negotiate and get more money because you just tinted your windows
278000	280000	and got a new engine on a brand new car.
280000	281000	Okay.
281000	286000	We're going to help you with that gap coverage, that gap claim,
286000	289000	as soon as we get those documents.
289000	293000	Basically, let's say that you bought that car 30 days ago,
293000	296000	and it's worth, you bought it for 35,000, but you drove it off the lot,
296000	298000	and it's worth 30,000 now.
298000	300000	So, you owe an extra 5,000 on it.
300000	303000	That gap coverage will pay for that difference.
303000	307000	Otherwise, you would have to pay for it because you got a bad deal at the, you know,
307000	310000	the place that you bought it from.
310000	311000	Okay.
311000	313000	Who's the owner of the vehicle?
313000	315000	Your wife is the owner of the vehicle.
315000	316000	Okay.
316000	317000	Cool.
317000	318000	Because you guys are both in the accident.
318000	319000	Got it.
319000	320000	I'm going to represent you guys.
320000	321000	Okay.
321000	323000	In name and shirt on the policies, your wife as well.
323000	324000	Your wife.
324000	325000	Okay.
325000	326000	Good.
326000	328000	So, as long as it's someone in the accident that we represent, then it's cool.
328000	332000	If not, then I would need something signed by the other person, your friend,
332000	334000	or whomever's car you're driving.
334000	335000	Okay.
335000	336000	So, where was this car tow to?
336000	337000	Was it the Ewing lot?
337000	338000	The Ewing lot.
338000	339000	Okay.
339000	340000	Cool.
340000	341000	So, we're going to need that car taken out.
341000	342000	Okay.
342000	346000	We're going to need it taken out of the tow yard because they're going to charge you every day that it's in there.
346000	350000	So, if it's in there for one day or five days, they charge you.
350000	352000	So, let's say they charge you $100 a day.
352000	353000	Okay.
353000	354000	Let's say it's in there for 10 days.
354000	355000	That's $1,000.
355000	361000	So, if they were going to give you $30,000 for that car, it starts taking money off of the car that they were going to give you.
361000	363000	So, let's say you had that car paid off.
363000	365000	And now, they've taken off $1,000.
365000	369000	They were going to give you $30,000, but now they're going to give you $29,000 because they've been taking off $100 a day.
369000	370000	Makes sense.
370000	374000	So, we need to get that out of there as soon as possible because we need to mitigate the damages.
374000	375000	Okay.
375000	377000	I have the battery on the line.
377000	378000	Can you want me to accomplish it?
378000	379000	Too late.
379000	381000	Okay.
381000	391000	So, anyway, you're only going to get $29,000 for it because you've left it in the tow yard for 10 days.
391000	393000	Just like you have a duty to mitigate damages.
393000	399000	Let's say your house was flooding and I was your landlord and you said, hey, Sandy, my house is flooding.
399000	401000	Can you fix my flooding?
401000	403000	You would have to stop the flooding.
403000	404000	You don't just let the water go.
404000	405000	You have a duty to mitigate.
405000	407000	So, you have a duty to go stop the flooding.
407000	409000	Maybe dry it out a little bit.
409000	411000	Not let it fill up until the whole house is full of water.
411000	413000	You have a duty to mitigate.
413000	414000	Okay.
414000	415000	So, here you have the same duty.
415000	417000	So, you have to make sure that you pull that car out of the tow lot.
417000	418000	And guess what?
418000	422000	If it stays in there too long, then they start selling your car and then you have no car.
422000	424000	Then you'll be really pissed off.
424000	426000	So, I did tell you about this.
426000	427000	Okay.
427000	431000	And by the way, you're going to have to authorize that tow.
431000	432000	I can't authorize it.
432000	434000	The owner has to authorize the tow.
434000	436000	So, your wife will have to authorize that tow.
436000	439000	Otherwise, everyone will just go out and take people's cars.
439000	440000	Okay.
440000	443000	So, because, you know, some people think that we're authorized to take that out.
443000	447000	You actually have to authorize us to take it out.
447000	448000	Okay.
448000	450000	And I'm going to need that VIN number because some of these tow lots.
450000	452000	They go by the VIN number.
452000	453000	Okay.
453000	455000	So, where do you want that vehicle tow to?
455000	457000	Is your house like an HWA community?
457000	458000	No, no.
458000	459000	Okay, perfect.
459000	462000	I wouldn't want it to be towed to HWA community and get retowed.
462000	464000	For you to be fine every day.
464000	465000	Okay, cool.
465000	467000	So, we'll just tow it to here.
467000	468000	Okay.
468000	470000	And you can put it in your garage or in the front yard or whatever.
470000	471000	Okay.
471000	473000	I'm going to give you this text line.
473000	478000	You can't make phone calls to that text line because it'll go to nowhere because it's just a text line.
478000	480000	You can send your text messages there, though.
480000	483000	And we will respond in a few days as soon as we see it.
483000	486000	It's not like we're carrying our phones all day waiting for you to text us.
486000	488000	It's just something that's in our computer system.
488000	490000	So, when we're on your page or on your account,
490000	493000	we'll see that your text messages came through.
493000	494000	Okay.
494000	498000	So, if you need to call us, just call the phone number on the file here.
498000	499000	702-5910-11.
499000	505000	And then if you need to text us on the other line that I just gave you.
505000	507000	So, again, it's not immediate.
507000	510000	It might be a few days before we see it.
510000	512000	If you want something that's more urgent, call us.
512000	513000	Okay.
513000	517000	Like if you need your drug prescription refill or something, just call us because then we'll get it right away.
517000	520000	Can you make sure that you text me all of the pictures from the accident?
520000	521000	Sure.
521000	524000	And a selfie, too, because I'd like to know who I'm talking with.
524000	525000	Okay.
525000	526000	Cool.
526000	529000	We want a lifetime client, someone that refers as their friends and family.
529000	532000	So, we want to tell you what happens in an accident.
532000	535000	Normally, when you hire an attorney after the fact you're like,
535000	537000	Hey, I got a DUI.
537000	538000	Can you help me fix it?
538000	540000	Oh, I got audited on my taxes.
540000	541000	Can you help me fix it?
541000	543000	Oh, I got into a car accident.
543000	544000	It's not usually before.
544000	546000	You don't say, Hey, I think I'm going to get into a car accident today.
546000	549000	What kind of insurance coverage should I get, right?
549000	554000	So, normally, you know, I want you to tell you what happens because usually you come see me afterwards.
554000	557000	Next time, if you could do getting an accident, call me first.
557000	560000	The reason being is because I do not want you calling your insurance company.
560000	565000	So normally, it's not a good idea to talk to your insurance company or the defense insurance company.
565000	568000	Okay. It's just a really bad idea because they will index you.
568000	571000	They will put you in their computer system and say,
571000	574000	Oh, John has had two other accidents.
574000	580000	Since he had these two other accidents before, three years ago or five years ago or whatever,
580000	582000	we're going to blame all his injuries from before.
582000	584000	He just never got better from those last two accidents.
584000	588000	So if he's claiming back injuries and he's claiming back injuries this time,
588000	591000	we're going to just say it's from residual from those other two accidents.
591000	593000	So never, ever give them your information.
593000	597000	In fact, we redact all your information on the demand letter.
597000	599000	We take all your personal information out there.
599000	602000	We are trying to protect you so that you get a good offer.
602000	605000	They should not have to go look at these old accidents.
605000	606000	It's not fair.
606000	608000	You didn't cause the accident.
608000	610000	They should be based on this accident.
610000	612000	They were the ones that their client was negligent.
612000	618000	They hit you and you know, you should be compensated for your injuries and your pain and suffering.
618000	623000	Not, you know, taking a hit for two accidents that you had before.
623000	624000	Okay.
624000	628000	And the other thing is, I know maybe let's say you didn't have an accident.
628000	631000	Now you've put yourself into their database.
631000	632000	You called them.
632000	634000	They asked for your social.
634000	635000	They asked for your phone number.
635000	636000	They asked for your data birth.
636000	637000	You gave them your address.
637000	638000	You gave them everything.
638000	640000	And now they put you in their database.
640000	643000	And now they're going to put your injuries in there.
643000	645000	So let's say you've never had an accident before.
645000	646000	You're like, hey, cool.
646000	647000	I've never had an accident before.
647000	650000	That won't ever, that won't be detrimental to me at all.
650000	652000	You know, prejudicial or detrimental to me.
652000	653000	Okay.
653000	655000	Let's say you get into an accident five months from now.
655000	656000	This one might have been a fender bender.
656000	660000	But the next accident, you get hit by a Walmart.
660000	661000	A Walmart truck.
661000	663000	And that Walmart truck has a million dollars.
663000	666000	And now you're in the hospital and you have 300,000 dollar medical bills.
666000	670000	They're only going to give you half of an offer because you had this accident today.
670000	671000	Okay.
671000	675000	So we never ever want to give out indexing information to the insurance adjuster.
675000	680000	So always call us first so that we can protect you and call the insurance company on your behalf.
680000	681000	Okay.
681000	686000	The other thing is, we want to talk to the insurance company on your behalf
686000	688000	because we want to make sure that we tell them the whole story.
688000	692000	If you tell them the wrong set of facts, then they're going to think that you cause the accident.
692000	695000	That you merged in front of the defendant or whatever.
695000	699000	So we want to make sure that we, you know, get the story straight and everything
699000	703000	and give them the right set of facts so that they don't think that you're at fault for the accident.
703000	706000	The other reason that we want to talk to the insurance companies,
706000	709000	because you might not have all your injuries right away.
709000	711000	Maybe in a day or two, your shoulder starts hurting.
711000	713000	Maybe your neck starts hurting in a day or two.
713000	714000	You don't know.
714000	718000	You had all this, you know, epinephrine going through you.
718000	722000	You were all excited, adrenaline going through you at the date of the accident.
722000	725000	And now the next few days you're feeling hurt.
725000	727000	So let's say you forgot to tell them about that.
727000	730000	You told them about your back, but you didn't tell them about your neck or your shoulder.
730000	735000	Now they're going to say that that doesn't count because they have you on a recording today saying that only your back hurt.
735000	739000	But in a few days, your neck starts hurting, your shoulder starts hurting.
739000	741000	You didn't tell them all your injuries.
741000	744000	So we want to make sure that we protect you.
744000	746000	Okay, so we'd rather be the one that calls from now on.
746000	750000	So if you ever get an accident, give Van law firm a call first.
750000	751000	Okay.
751000	752000	Okay.
752000	757000	So if your insurance company calls you from now on, tell them to call Van law firm.
757000	759000	Okay.
759000	763000	If you've already talked to the insurance company, it's okay to talk to them about the property damage.
763000	766000	Just don't talk to them about your injuries or how the accident happened.
766000	771000	If they call you and ask you about the injuries or how the accident happened, tell them to call less.
771000	776000	But you can talk to them about the property damage if you've already talked to the insurance company.
776000	777000	Okay.
777000	781000	So getting your car fixed or totaled out, it may take 30 days or longer.
781000	789000	There is a state law that is a Nevada Administrative Code 686A.670.
789000	792000	The insurance company is 30 days to investigate.
792000	793000	Okay.
793000	795000	Nobody's going to be paying for your car unless they know that they did it.
795000	798000	I know in this case they know that you did it because you were cited.
798000	801000	You were the driver that hit the other car in front of you.
801000	808000	But normally it takes 30 days for them to review all the evidence, which means getting that police report that comes out in 10 or 15 days,
808000	814000	talking to all the witnesses, talking to all the parties, looking at all the pictures, looking at all the cars.
814000	816000	That's what they mean by duty to investigate, right?
816000	821000	Nobody's going to be paying for your car to get fixed or totaled or rental until they know that they're at fault.
822000	828000	So 30 days to look through all that evidence, witnesses, talking to the parties, police reports, looking at the pictures,
828000	832000	inspecting all those vehicles.
832000	833000	Okay.
833000	834000	Okay.
834000	835000	So yeah.
835000	841000	Everyone thinks that if they get into an accident, they're going to automatically get their car fixed and a car rental.
841000	842000	It's not the case.
842000	844000	They have 30 days to investigate.
844000	845000	Okay.
845000	849000	So you said that your car's totaled probably in the tow yard.
849000	851000	Make sure to get the stuff out of the vehicle.
851000	853000	You know, things seem to disappear.
853000	858000	Tiffany, necklaces, and you know, cell phone chargers and things like that.
858000	861000	Just make sure you get all your personal effects out of there.
861000	862000	Okay.
862000	866000	If you want your car repaired sooner or totaled sooner, you're going to have to go through your insurance.
866000	867000	Okay.
867000	870000	I see here that you have a $500 deductible.
870000	875000	You can pay that $500 deductible and then we will get it back later on if you didn't cause accident.
875000	878000	I know you're probably not going to get your deductible here because you caused accident.
878000	886000	But so long as if you didn't cause accident, you would get your $500 deductible back later on after they figured out who caused accident if it wasn't you.
886000	893000	And so long as there's enough insurance coverage for the property damage.
893000	894000	Okay.
894000	895000	Okay.
895000	898000	So you would get your deductible back cad, you not cause accident.
898000	902000	If the other party has enough property damage insurance and that.
902000	903000	Okay.
903000	904000	Rental car.
904000	907000	Again, you're not going to get a rental for 30 days or more.
907000	911000	Sometimes it's less if they look at the police report and show that you didn't cause it.
911000	915000	Here, since you caused it, I'm glad that you have that coverage.
915000	919000	So you do have coverage for $50 a day.
919000	921000	I see on here.
921000	927000	And just make sure that you have a valid driver's license and a credit card.
927000	929000	And I'm assuming you're over 25, right?
929000	930000	Yeah.
930000	931000	Okay.
931000	935000	Because sometimes you have to be 25 to rent a vehicle.
935000	936000	Okay.
936000	941000	And yeah, usually they need a credit card or like a bank-owned debit card.
941000	945000	So your Walmart credit card will not work.
945000	949000	Well, Walmart debit card will not work.
949000	951000	Don't buy anything extra.
951000	952000	So don't upgrade your car.
952000	955000	If you had a Kia, you have to get something similar to a Kia.
955000	957000	You can't go get yourself an escalate.
957000	958000	Okay.
958000	964000	And then don't buy extra insurance or things like that, you know, paying for that gas upgrade or whatever
964000	965000	because you won't get it back.
965000	966000	Okay.
966000	969000	So if you buy insurance or anything, you won't get it back.
969000	973000	If you didn't cause accident, I know you caused accident here, but if you didn't cause accident,
973000	977000	you would have, they'll, they'll pay you back for that rental.
977000	978000	Okay.
978000	983000	So we're going to be opening a claim with your insurance since you caused the accident.
983000	984000	Okay.
984000	988000	We probably can't represent you because you caused accident.
988000	992000	Otherwise, everyone would be running into each other if they could get money for running into each other.
992000	994000	But we can represent your wife.
994000	999000	You know, your wife might as well make a claim because those three people that you hit, they'll probably make a claim.
999000	1000000	Okay.
1000000	1002000	Your wife did have some damages.
1002000	1004000	She did go to the hospital here.
1004000	1008000	She might as well get paid back for her pain and suffering and all the inconvenience that she had.
1008000	1009000	Right.
1009000	1011000	Of having to rent a car and all that stuff.
1011000	1012000	Okay.
1012000	1016000	So let's get your wife with her claim open, you know.
1016000	1019000	She'll be making the claim against you, but it's not like we can erase this.
1019000	1022000	The insurance company is going to know that you caused an accident.
1022000	1024000	So she might as well make a claim.
1024000	1025000	Okay.
1025000	1026000	The other people are going to be making a claim.
1026000	1028000	Your wife might as well make a claim as well.
1028000	1031000	And anyway, she doesn't want her bills paid and all that stuff.
1031000	1033000	She wants us to deal with the gap.
1033000	1037000	The gap is going to be a real big issue to deal with because it's bridge crest.
1037000	1041000	And bridge crest takes a really long time to initiate gap.
1041000	1043000	Okay.
1043000	1047000	So you guys don't want to be the ones that are calling bridge crest like 15 times.
1047000	1048000	Okay.
1048000	1051000	So we're going to open a third party claim against you.
1051000	1055000	So first party claim.
1055000	1060000	Our job is to make your case look the best and get you the most money in the shortest amount of time.
1060000	1066000	So, you know, she's your wife is injured and all that stuff.
1066000	1070000	The defendant's job is to make your case look bad like you're not injured.
1070000	1071000	Okay.
1071000	1072000	They're going to say that you're not injured.
1072000	1075000	So make sure that you treat regularly and soon.
1075000	1079000	So we need to get you into a doctor as soon as possible and you need to treat regularly.
1079000	1083000	You can't just go treating one week here, one week off, one month off.
1083000	1085000	It will really hurt your settlement.
1085000	1086000	Okay.
1086000	1087000	Yeah.
1087000	1090000	So make sure that you treat consistently with a chiropractor and a doctor.
1090000	1091000	They are different.
1091000	1092000	They're not the same.
1092000	1094000	Chiropractor is just like a band-aid.
1094000	1096000	You're trying that for a little bit to see if it works.
1096000	1099000	And if it doesn't work, you're going to continue on with the doctor.
1099000	1101000	The doctor is the one that has an MD at the end of his name.
1101000	1103000	He went to school a little bit longer.
1103000	1104000	He can prescribe medication.
1104000	1105000	You know what I mean?
1105000	1107000	The chiropractor is not really a real doctor.
1107000	1111000	He's just there's a band-aid just to see if you're, you know, getting better.
1111000	1115000	If you're not getting better, you continue on to the doctor at least once a month.
1116000	1121000	Okay. If you miss any appointments, make sure that you reschedule those as soon as possible, or it's going to affect your settlement.
1121000	1125000	Insurance company may not pay for it if you have significant gaps.
1125000	1129000	And it may affect your settlement if you have significant gaps in treatment.
1129000	1134000	And if you're not treating, then they're going to say any reasonable person that was injured would be treating.
1134000	1137000	So if you're not treating, it's going to affect your settlement.
1137000	1142000	Okay. Make sure that you tell the doctor about all your injuries, the first visit.
1142000	1147000	So if you have something, you forgot to tell them about your neck, and you tell them the second week later, it may not count.
1147000	1149000	Because you didn't tell them the first time that your neck was hurting.
1149000	1159000	So if you have to write it down, think about from your head to your toes, everything that's injured, injured, and say, write everything down so that you can tell the doctor on your very first visit.
1159000	1162000	Otherwise, it may not count if you say it later.
1162000	1165000	Okay.
1165000	1169000	Your pain scores, you are not a yo-yo.
1169000	1173000	You're not a nine, then a one, an eight, then a one.
1173000	1175000	Okay. Eight, then a two.
1175000	1176000	You're not a yo-yo.
1176000	1177000	You know what I mean?
1177000	1182000	If your pain scores may not always be the same, it may be like a scale.
1182000	1184000	Like maybe you're like a six to eight.
1184000	1190000	But just let the doctor know that if you're going to be like a yo-yo, the insurance company may not pay for that.
1190000	1194000	After you say that you're like a one or something, they'll be like, oh, he was all better.
1194000	1195000	That day, he was all better.
1195000	1196000	You know what I mean?
1196000	1199000	So just tell your doctor a range if you're not sure.
1199000	1203000	Just please don't fluctuate too much, okay?
1203000	1204000	So your settlement.
1204000	1206000	Your settlement is going to be based on what your medical bills are.
1206000	1209000	So if you have a dollar, I'm not going to be getting you a million dollars.
1209000	1211000	Just because you're hitting an accident.
1211000	1215000	If you have one dollar worth of medical bills, I'm not going to get you a million dollars.
1215000	1217000	And that does happen sometimes.
1217000	1222000	If I hit the rock, he's going to be like, you could hit me with a missile and I wouldn't be feeling any pain.
1222000	1228000	Even though he got hit in the car accident, he doesn't get any settlement because he didn't treat or anything like that.
1228000	1230000	If he's no medical bills.
1230000	1232000	It's going to be based on your medical bills.
1232000	1234000	What's in your medical records?
1234000	1239000	So whatever you told the doctor, if you tell your doctor every day that you have a paper cut,
1239000	1244000	I don't care if you went to the doctor every day for 365 days to tell them about your paper cut,
1244000	1247000	I can't get you a good settlement because you didn't tell the doctor about your injuries.
1247000	1250000	So it's going to be based on what's in your medical bills?
1250000	1251000	What's in your medical records?
1251000	1253000	The amount of insurance.
1253000	1256000	So let's say that there's $100,000 in here.
1256000	1266000	I'm going to need your bills to be somewhere between 40 to 60,000 to 40 to 60% of the 100,000 to get you that 100,000 because you probably want the maximum settlement.
1266000	1273000	So when you get to that point, we'll start tapering it down and we'll start gathering your medical bills and records to send in that demand.
1273000	1283000	So if there's not a lot of insurance, let's say it's a $25,000 policy, I'll have to stop this case early.
1283000	1286000	And sometimes some people are really injured.
1286000	1291000	I've had clients go to the doctors two to three times to the hospital two to three times because they're really injured.
1291000	1296000	But if there's not enough insurance, I can't make insurance just magically appear.
1296000	1299000	We can only go after how much insurance there is.
1299000	1306000	I can't go after the defendant most of the time because they usually don't have a pot to piss in or they'll follow bankruptcy by the time I get my judgment.
1306000	1316000	So unless that with person with Steve Win or something, probably not going after the defendant because they will hide assets, file bankruptcy, or they have no assets.
1316000	1319000	So I have to just go through the amount of insurance.
1319000	1323000	Reasonableness, it's pretty reasonable here that you have these injuries because it was a big impact.
1323000	1326000	Your car caught on fire and all that stuff.
1326000	1335000	If it was just a little bit of damage, it's not going to be as reasonable for me to say, like, hey, you know, you have all these injuries.
1335000	1337000	Okay.
1337000	1344000	The faster you get through the treatment that your doctor recommended, the faster we can get your case all settled out.
1344000	1346000	That does not mean treat faster than stop.
1346000	1350000	It means if your doctor recommends an MRI, you need to go to that MRI.
1350000	1353000	If the doctor recommends an injection, you need to go get that injection.
1353000	1362000	Because if I have to pull you to go get your MRI and if to pull you to get your injection, you're just delaying your case.
1362000	1363000	Okay.
1363000	1366000	I can lead you to water. I can't make you drink.
1366000	1369000	Okay.
1369000	1372000	Make sure that you're not getting too many drug refills.
1372000	1374000	Okay.
1374000	1379000	Because they actually monitor that on the Nevada Prescription Drug Monitoring Program.
1379000	1382000	And then they're just going to say that you're just drug seeking.
1382000	1383000	Okay.
1383000	1389000	And then you'll probably get a low offer because they think that you just want to run up your bills to get drugs.
1389000	1393000	If you, since you went to the hospital, I need you to go get me those hospital bills and records.
1393000	1397000	Okay. Because those hospital bills and records, if I get them, it's going to take like 60 days.
1397000	1399000	If you get them, it's going to be 30 days.
1399000	1404000	I want you to show the hospital your insurance card because they need to bill health insurance.
1404000	1406000	The hospital is kind of sneaky.
1406000	1412000	Instead of getting paid 10 cents on a dollar by billing your health insurance, whether it's Medicare, Medicaid,
1412000	1417000	and a Blue Cross Blue Shield, they will just say, I never got his health insurance card so I never billed it.
1417000	1420000	And then they want to get the money from your settlement.
1420000	1424000	Okay. So each time you go in there, so when you go in there, in 30 days you go to your bills and records,
1424000	1426000	I need you to go present your health insurance.
1427000	1432000	Okay. So yeah, we need the bills and the records and then give us a copy.
1433000	1438000	And I just want them to bill your health insurance because once they know I'm involved, I have a duty to pay them.
1438000	1440000	So I will have to pay them the full amount.
1440000	1441000	So it's going to affect your settlement.
1441000	1445000	So more you help me cooperate on this, the better.
1445000	1451000	If the hospital doesn't bill your health insurance because you don't have health insurance or they just don't bill your health insurance,
1451000	1453000	they may send you to collections.
1453000	1460000	You need to enter into a payment plan with them for like $50 or $100 a month because otherwise you're going to have your credit affected.
1460000	1464000	And you know how you just got this brand new car or now you have this gap claim.
1464000	1466000	You need to also make payments on that.
1466000	1470000	Okay. Because if you don't then you're going to have bad credit and you won't be able to buy a new car.
1470000	1475000	Okay. The hospital doesn't have to accept an agreement from us to say we'll pay them later.
1475000	1478000	They will just send you to collections and it will affect your credit.
1478000	1483000	So enter into a payment plan with them unless you can pay them in full or pay them a settled amount.
1483000	1487000	Otherwise it's going to affect your credit.
1487000	1490000	Because you went to the hospital you went in an ambulance, right?
1490000	1492000	You're going to get more bills. You're going to get ambulance bills.
1492000	1498000	You're going to get the radiology bill for the X-rays and MRIs or CT scans that they did.
1498000	1502000	Probably CT scans or X-rays usually they don't do MRIs at hospitals.
1502000	1506000	But you're going to get a radiology bill and ambulance bill and emergency room physician bills.
1506000	1509000	So that physician that saw you he's contracted with the hospital.
1509000	1514000	Okay. So they're going to send you three additional bills including the hospital bills.
1514000	1516000	So just because you got one doesn't mean it stopped.
1516000	1519000	You're going to get a few more bills.
1519000	1529000	And you also have to enter into a payment plan with them or settle the debt or otherwise you're going to have bad credit.
1529000	1533000	Okay. So the police report it's going to take 10 to 15 days to get.
1533000	1542000	It says 10 days on there but you know it sometimes takes longer if there was a crime involved or if someone died.
1542000	1549000	Okay. And for me for us to get it since we're van law firm and we're not you we have to actually drop it off and then go back in three days to go pick it up.
1549000	1551000	So we call every day and see if it's ready.
1551000	1557000	When they tell us it's ready we drop off of sheet and then we go to the police station in three days to go pick up your police report.
1557000	1562000	If you need the police report faster because you want your car fixed or you want your car rental or whatever.
1562000	1566000	You need to go get it yourself. Okay. Got it.
1566000	1577000	So okay. And you know it's really important to get that police report because we need it to get liability accepted to see who caused accident and to get your car fixed or totaled out or your car rental.
1577000	1580000	Okay. We're doing a lot of things behind the scenes.
1580000	1587000	So you might not hear from us as much. Usually you'll hear from us a lot more in the beginning because it's been you know in the beginning there's a lot more.
1587000	1593000	We're trying to get your car fixed trying to get your rental or your car to allow your gap claim started or something.
1593000	1599000	But then after that we're doing things moderately until you're done treating you know.
1599000	1603000	So we're trying to get the police report for you. We're trying to help you with your getting your car fixed.
1603000	1608000	We're researching the policy limits. The defendant isn't need to tell me how much insurance there is.
1608000	1614000	Okay. I need to actually go higher private investigator to figure out how much insurance there is.
1614000	1619000	Okay. We're watching your treatment. So we know how much there is in policy limits.
1619000	1623000	We know if there's 25 grand or 100,000 your doctors don't know.
1623000	1631000	Okay. So they'll be calling our office all the time and saying hey can I go approve this MRI or hey can I prove this injection.
1631000	1635000	And we have to watch that to get it just right. It's like the three little bears.
1635000	1638000	Okay. You know how the porch is too cold and the porch is too hot.
1638000	1643000	We want to get it right in the middle medium like just warm in the middle.
1643000	1648000	It needs to be just right. Your medical bills need to be just right for me to get you that settlement.
1648000	1652000	Okay. So we're going to be watching your treatment. We're going to be approving your treatment when your doctors call us.
1652000	1655000	We may be helping you with wage loss claims.
1655000	1659000	You may not see everything that we're doing but we're doing a lot of things behind the scenes.
1659000	1662000	Your insurance company is not going to give you an offer until they see the demand letter.
1662000	1665000	We can't get them the demand letter until you're almost done treating.
1665000	1670000	So when you're 80% done treating we'll start requesting those bills and records.
1670000	1674000	Okay. But they're not going to the insurance company is not going to do it out of the graciousness of their heart.
1674000	1676000	You know and say hey here's an offer.
1676000	1680000	So no there will be no offers until I send off that demand letter.
